CELL_TYPE,SHAPE,MAX_SHEAR,WSR_ID,MXDV,CELL_ID,ZTIME,AZIMUTH,RANGE
TVS,POINT (-90.0260655231903 38.7512085420716),39,KLSX,76,J2,2024-07-30T03:57:03Z,84,31
TVS,POINT (-97.1187130221237 42.8403999915532),31,KFSD,99,Z3,2024-07-30T03:59:08Z,201,48
TVS,POINT (-86.7390844652906 38.9725108932859),17,KIND,52,W5,2024-07-30T04:02:07Z,206,49
TVS,POINT (-96.8864513054162 42.7625858695125),19,KFSD,59,Z3,2024-07-30T04:04:52Z,188,50
TVS,POINT (-97.0276865819394 42.7664877919155),22,KFSD,72,Z3,2024-07-30T04:04:52Z,195,51
TVS,POINT (-96.9811334583025 42.8437624535774),24,KFSD,76,Z3,2024-07-30T04:10:37Z,194,46
TVS,POINT (-86.5798062578164 38.9419805586081),26,KIND,82,W5,2024-07-30T04:20:39Z,197,48
TVS,POINT (-86.4269524258923 38.1337211669046),34,KSDF,85,C0,2024-07-30T04:28:59Z,278,39
TVS,POINT (-86.5187244490357 38.8892458027655),33,KIDS,92,E9,2024-07-30T04:29:28Z,185,45
TVS,POINT (-86.5589186395568 38.0945496883048),30,KSDF,83,C0,2024-07-30T04:40:58Z,274,45
TVS,POINT (-86.5353353694061 38.1190982845032),46,KSDF,122,I1,2024-07-30T04:43:48Z,276,44
TVS,POINT (-86.3881603326878 38.1079549021726),37,KSDF,86,C0,2024-07-30T04:58:58Z,276,37
TVS,POINT (-86.2512483530788 38.6021424422032),36,KSDF,99,R2,2024-07-30T05:10:58Z,318,45
TVS,POINT (-86.305271727875 38.6079682129983),24,KSDF,69,R2,2024-07-30T05:10:58Z,316,47
TVS,POINT (-84.1522550676158 39.37194311232),31,KDAY,76,R1,2024-07-30T05:18:45Z,182,39
TVS,POINT (-84.5570076924551 39.3879650181057),26,KDAY,72,U4,2024-07-30T05:24:45Z,208,43
TVS,POINT (-84.4354684016335 39.31680530393),54,KCVG,88,I5,2024-07-30T05:28:36Z,15,26
TVS,POINT (-84.1997717596829 39.340767367242),37,KDAY,91,I9,2024-07-30T05:30:45Z,185,41
TVS,POINT (-84.4535468025079 39.3162610759146),32,KDAY,90,Q5,2024-07-30T05:36:44Z,200,45
